,G2700530005901,G2700530005902,G2700530006800,G2700530007700,G2700530007801,G2700530008100,G2700530008200,G2700530008300,G2700530008400,G2700530008500,G2700530009500,G2700530009600,G2700530010600,G2700530010700,G2700530011000,G2700530011703,G2700530021800,G2700530022000,G2700530022700,G2700530022801,G2700530022802,G2700530022901,G2700530022902,G2700530023000,G2700530023100,G2700530023600,G2700530103400,G2700530104100,G2700530104400,G2700530105100,G2700530105201,G2700530105204,G2700530105500,G2700530105600,G2700530105700,G2700530106000,G2700530106500,G2700530106600,G2700530106700,G2700530106900,G2700530107000,G2700530108000,G2700530108600,G2700530109100,G2700530109200,G2700530109300,G2700530109400,G2700530109700,G2700530109800,G2700530109900,G2700530110000,G2700530110800,G2700530110900,G2700530111200,G2700530111300,G2700530111400,G2700530111500,G2700530111600,G2700530125800,G2700530125900,G2700530126000,G2700530126102,G2700530126201,G2700530126202,G2700530126300
G2700530110800,0,1,1,9,2,11,6,5,6,6,3,1,0,57,15,3,1,3,0,0,0,1,2,0,0,0,1,0,4,1,0,1,1,0,3,0,3,1,2,2,4,2,2,5,5,24,11,1,1,53,5,0,41,1,3,29,20,6,3,1,0,1,1,1,0
G2700530110900,9,2,1,3,3,1,6,5,19,20,40,14,0,11,59,21,0,0,0,0,2,3,0,0,0,0,2,2,3,1,0,0,3,1,0,8,2,0,4,0,1,0,2,1,2,11,18,3,3,13,67,41,0,0,5,8,18,39,5,3,5,1,3,6,2
G2700530111200,1,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,1,3,1,3,2,2,0,2,3,33,0,0,0,0,0,0,3,3,0,0,4,4,0,0,0,1,0,3,0,1,1,0,25,5,0,1,0,0,15,9,10,1,0,0,0,3,0,3,1
G2700530111300,0,0,2,5,1,14,3,0,1,2,0,0,26,2,0,0,2,1,0,0,0,4,1,4,1,11,0,0,1,0,0,0,3,1,2,0,3,5,1,0,1,3,1,9,0,6,1,0,10,31,0,3,5,15,0,81,13,7,0,1,2,2,0,2,0
G2700530111400,0,1,2,17,1,8,3,0,2,0,2,2,21,26,5,5,0,1,1,0,0,1,0,8,2,3,1,0,1,0,0,0,1,0,0,0,3,2,3,0,5,2,2,1,3,2,2,0,3,16,8,29,8,9,81,0,151,23,0,0,0,2,1,1,0
G2700530111500,0,1,1,5,2,14,10,3,0,1,1,3,4,8,6,8,0,1,0,0,1,1,0,0,0,2,0,2,4,0,0,0,3,0,8,0,1,1,4,2,0,0,1,2,10,9,2,0,5,10,4,20,18,10,13,151,0,72,7,1,2,4,0,0,1
G2700530111600,0,1,1,6,0,1,2,1,5,13,6,5,0,7,28,57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,1,3,0,0,7,3,1,3,7,4,4,0,11,6,39,1,7,23,72,0,1,2,4,0,4,0,1
G2700530125800,9,25,6,16,3,3,4,11,23,32,4,1,0,0,1,1,1,1,0,0,0,2,0,0,0,0,1,2,5,2,1,3,4,0,4,33,0,0,2,3,1,3,12,4,0,1,3,11,0,1,5,3,5,0,0,0,7,1,0,65,36,9,2,0,7
G2700530125900,8,6,2,9,0,1,5,8,9,30,4,11,1,1,7,2,0,3,0,0,0,4,0,0,0,1,4,1,7,4,2,2,1,8,2,68,0,0,1,12,13,0,57,2,3,0,6,7,0,3,2,1,3,0,1,0,1,2,65,0,26,9,6,1,5
G2700530126000,8,57,17,11,16,6,9,22,32,13,7,15,0,2,4,0,0,2,0,1,3,3,0,1,0,0,1,2,20,6,1,4,3,7,25,16,0,2,12,27,2,0,12,4,4,9,4,3,0,3,5,0,5,0,2,0,2,4,36,26,0,26,9,1,1
G2700530126102,12,64,16,16,3,7,5,2,8,6,1,2,3,0,1,1,2,9,1,0,4,3,1,2,0,2,33,13,264,7,16,37,29,25,21,19,5,4,13,15,6,7,4,5,5,3,0,7,4,4,1,1,1,3,2,2,4,0,9,9,26,0,118,114,15
G2700530126201,3,12,15,4,3,4,3,0,0,2,2,2,4,0,0,2,1,10,0,2,1,2,0,1,0,0,69,24,58,3,54,19,9,45,19,12,10,3,6,6,2,2,1,3,8,1,1,0,0,0,2,1,3,0,0,1,0,4,2,6,9,118,0,77,30
G2700530126202,1,1,1,4,0,0,0,0,1,0,0,0,1,3,0,0,0,2,0,2,1,1,0,0,2,2,7,4,23,1,1,5,0,3,0,2,1,1,1,2,9,1,1,1,2,2,0,5,1,2,0,1,6,3,2,1,0,0,0,1,1,114,77,0,9
G2700530126300,1,0,3,4,3,2,1,4,1,2,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,41,7,14,2,1,10,10,1,3,3,0,0,1,2,0,2,1,6,1,2,2,0,0,2,1,0,2,1,0,0,1,1,7,5,1,15,30,9,0
