,G2700530005901,G2700530005902,G2700530006800,G2700530007700,G2700530007801,G2700530008100,G2700530008200,G2700530008300,G2700530008400,G2700530008500,G2700530009500,G2700530009600,G2700530010600,G2700530010700,G2700530011000,G2700530011703,G2700530021800,G2700530022000,G2700530022700,G2700530022801,G2700530022802,G2700530022901,G2700530022902,G2700530023000,G2700530023100,G2700530023600,G2700530103400,G2700530104100,G2700530104400,G2700530105100,G2700530105201,G2700530105204,G2700530105500,G2700530105600,G2700530105700,G2700530106000,G2700530106500,G2700530106600,G2700530106700,G2700530106900,G2700530107000,G2700530108000,G2700530108600,G2700530109100,G2700530109200,G2700530109300,G2700530109400,G2700530109700,G2700530109800,G2700530109900,G2700530110000,G2700530110800,G2700530110900,G2700530111200,G2700530111300,G2700530111400,G2700530111500,G2700530111600,G2700530125800,G2700530125900,G2700530126000,G2700530126102,G2700530126201,G2700530126202,G2700530126300
G2700530105700,12,51,19,9,10,3,2,1,5,5,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,6,0,11,46,5,46,0,20,2,1,4,35,5,5,7,0,0,0,0,1,1,4,1,1,1,0,0,0,3,1,8,8,12,29,11,3,4
G2700530106000,31,34,4,12,5,0,0,6,7,9,2,3,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,5,1,1,7,1,3,20,0,0,0,4,7,1,0,14,1,0,2,4,3,0,0,2,0,2,0,0,0,3,6,25,45,11,26,16,1,3
G2700530106500,0,6,7,16,0,19,3,3,2,3,0,5,0,2,0,0,3,7,8,16,21,17,2,7,0,3,2,1,4,19,1,2,40,5,2,0,0,30,29,2,1,13,0,93,3,3,0,0,4,3,1,1,3,0,1,3,1,1,2,0,0,5,2,0,5
G2700530106600,0,3,8,12,5,7,0,1,0,1,1,5,0,1,0,0,0,1,1,2,3,0,0,2,0,0,0,2,4,1,1,3,20,6,1,0,30,0,29,2,1,13,0,15,3,3,2,0,2,0,0,2,0,1,2,0,2,0,1,0,2,1,0,1,0
G2700530106700,3,8,78,22,6,30,17,2,4,3,4,4,2,0,0,2,4,6,0,0,0,6,0,0,1,0,1,4,5,3,3,4,45,33,4,4,29,29,0,16,26,5,2,18,12,21,2,0,2,7,1,2,5,0,2,2,5,3,2,6,9,9,5,6,4
G2700530106900,6,40,26,9,8,6,11,10,5,1,0,1,0,2,0,1,5,4,0,0,0,4,1,2,0,0,0,5,10,1,2,9,8,23,35,7,2,2,16,0,9,5,0,4,2,10,2,0,1,4,2,3,1,1,0,5,1,1,6,13,23,11,5,1,1
G2700530107000,0,3,29,23,13,8,17,3,4,7,1,2,0,0,0,0,0,1,0,0,2,3,0,0,0,1,3,2,7,2,4,4,5,15,5,1,1,1,26,9,0,2,0,2,1,1,0,1,2,1,2,2,1,1,0,1,0,1,4,9,6,9,2,7,0
G2700530108000,0,3,2,31,0,30,5,3,3,1,2,1,4,2,6,0,1,3,0,5,1,11,0,2,1,1,0,0,0,2,1,4,5,2,5,0,13,13,5,5,2,0,0,64,21,15,0,0,4,14,0,1,0,3,2,0,3,0,4,1,2,11,1,1,1
G2700530108600,1,8,0,2,0,2,2,8,27,87,3,11,0,0,12,3,0,2,0,1,3,0,0,0,0,0,1,2,4,0,0,0,1,5,7,14,0,0,2,0,0,0,0,1,1,3,0,45,1,2,0,1,3,0,0,1,0,1,19,38,8,7,4,3,1
G2700530109100,0,4,6,18,1,24,1,1,2,3,3,3,21,7,4,1,3,10,9,19,24,47,7,14,6,4,3,2,3,8,2,4,13,1,0,1,93,15,18,4,2,64,1,0,11,8,1,0,37,59,2,6,2,3,2,6,7,1,1,0,1,8,1,3,3
